question_id,question_text,label_interval,major_tick,minor_tick,snap_interval,format_type,points_per_extra_unit,max_width_units,min_value,max_value,default_start,default_end,unit,true_value,answer_text,min_ppn
pinch_A,"NOT including echoes, how many times is the word “bye” sung in NSYNC’s “Bye Bye Bye”?",10,5,1,,INTEGER,1,95,0,100,35,85,,57,"The word ""Bye"" is sung 57 times in ""Bye Bye Bye"".",5
pinch_B,How many movies has Martin Scorsese made about the Italian Mafia?,5,1,,,INTEGER,5,18,0,20,6,16,,4,There are only 4 Scorcese movies about the Italian Mafia.,10
pinch_C,"What's the Guinness World Record for ""Longest Nipple Hair"" (rounded to the nearest inch)?",5,1,1,,INTEGER,5,17,0,20,4,14,,7,"Guinness's record for ""longest nipple hair"" is 6.69 inches.",15
pinch_D,"In the United States, how many calories are in a Big Mac, rounded to the nearest 50?",100,50,,,INTEGER,5,900,300,1300,800,1000,,600,American Big Macs have 580 calories.,10
pinch_E,"As of 2025, how many official Star Wars movies have been released theatrically?",5,1,,,INTEGER,2,45,0,50,20,30,,12,"By 2025, 12 Star Wars movies had been released theatrically.",10
pinch_F,How many Arabic numerals are there?,5,1,1,,INTEGER,2,45,5,55,20,40,,10,"There are 10 Arabic numerals: 1, 2, 3, 4, 5, 6, 7, 8, 9 and 0.",10
pinch_G,What is Donald Trump's birth month?,1,,,,INTEGER,10,9,1,12,1,3,month,6,"Donald Trump was born on June 14th, 1946 (the year of the Dog).",10
pinch_H,The Catholic Bible is made up of how many books?,10,5,1,,INTEGER,1,95,20,120,20,40,,73,There are 73 books in the Catholic Bible.,5
pinch_I,"What year was Velcro (aka ""Hook & Loop"") invented?",10,5,,,INTEGER,5,95,1880,1980,1900,1950,,1955,Velcro was invented in 1955.,5
pinch_J,"What's the Guinness World Record for ""Longest Fart,"" rounded to the nearest 15 seconds?",15,,,,INTEGER,1,165,15,195,10,50,time,165,"Guinness's longest recorded fart was 2 min, 42 sec (162 sec)",89
pinch_K,"When Nintendo's ""Gameboy"" launched in 1989, what was its suggested retail price?",10,5,1,,INTEGER,1,95,40,140,50,110,$,89.99,The Gameboy retailed for $89.99 at launch.,5
